,word1,word2,Score,Ratio,word1_phonetix,word2_phonetix
88,abs,lgv,3.0,0,AB,LGV
89,abs,ocp,3.0,0,AB,OCP
90,abs,oi,3.0,0,AB,
91,abs,orf,3.0,0,AB,ORF
92,abs,otc,3.0,0,AB,OTC
93,abs,pad,3.0,33,AB,PAD
94,abs,pals,2.0,57,AB,PAL
95,abs,pam,3.0,33,AB,PAN
96,abs,pcf,3.0,0,AB,PCF
97,abs,pcp,3.0,0,AB,PCP
98,abs,pct,3.0,0,AB,PCT
99,abs,pda,3.0,33,AB,PD
100,abs,pep,3.0,0,AB,PAP
101,abs,tbi,2.0,33,AB,TB
102,abs,tem,3.0,0,AB,TAN
103,abs,tof,3.0,0,AB,TAF
104,abs,ttp,3.0,0,AB,TP
105,abs,vats,2.0,57,AB,VAT
106,abs,vkh,3.0,0,AB,VCH
107,abs,vma,3.0,33,AB,VN
108,abs,vte,3.0,0,AB,VT
109,acariasis,amebiasis,3.0,67,ACARAS,ANABAS
110,acariasis,ascariasis,1.0,95,ACARAS,ASCARAS
111,acariasis,filariasis,3.0,74,ACARAS,FALARAS
112,acariasis,giardiasis,3.0,74,ACARAS,GARDAS
113,acariasis,psoriasis,3.0,67,ACARAS,PSARAS
114,acebutolol,penbutolol,3.0,80,ACABATALAL,PANBATALAL
115,achalasia,aphasia,3.0,75,ACALAS,AFAS
116,achalasia,tachylalia,3.0,74,ACALAS,TACHALAL
117,acitretin,bacitracin,3.0,74,ACATRATAN,BACATRACAN
118,acne,abs,3.0,29,ACN,AB
119,acne,adhd,3.0,25,ACN,ADHD
120,acne,aging,3.0,44,ACN,AGANG
121,acne,aids,3.0,25,ACN,AD
122,acne,anal,3.0,50,ACN,ANAL
123,acne,ankle,3.0,67,ACN,ANCL
124,acne,apnea,2.0,67,ACN,APN
125,acne,ards,3.0,25,ACN,AD
126,acne,arvd,3.0,25,ACN,ARVD
127,acne,binge,3.0,44,ACN,BANG
128,acne,bite,3.0,25,ACN,BAT
129,acne,bone,2.0,50,ACN,BAN
130,acne,chd,3.0,29,ACN,CHD
131,acne,cll,3.0,29,ACN,CL
132,acne,cpeo,3.0,50,ACN,CP
133,acne,cpr,3.0,29,ACN,CPR
134,acne,crp,3.0,29,ACN,CRP
135,acne,ctx,3.0,29,ACN,CTX
136,acne,eye,3.0,29,ACN,E
137,acne,face,2.0,75,ACN,FAC
138,acne,hcg,3.0,29,ACN,HCG
139,acne,knee,3.0,50,ACN,NY
140,acne,lcmv,3.0,25,ACN,LCNV
141,acne,ldpe,3.0,25,ACN,LDP
142,acne,lobe,3.0,25,ACN,LAB
143,acne,lung,3.0,25,ACN,LANG
144,acne,lyme,3.0,25,ACN,LAN
145,acne,macule,3.0,60,ACN,MCAL
146,acne,male,3.0,50,ACN,MAL
147,acne,node,3.0,50,ACN,NAD
148,acne,nose,3.0,50,ACN,NAS
149,acne,ocd,3.0,29,ACN,OCD
150,acne,ocps,3.0,25,ACN,OCP
151,acne,pain,3.0,50,ACN,PAN
152,acne,rape,3.0,50,ACN,RAP
153,acne,reye,3.0,25,ACN,RY
154,acne,scar,3.0,25,ACN,SCAR
155,acne,scle,2.0,50,ACN,SCL
156,acne,spine,3.0,44,ACN,SPAN
157,acne,tacrine,3.0,73,ACN,TACRAN
158,acne,urine,3.0,44,ACN,URAN
159,acne,vaccine,3.0,73,ACN,VACAN
160,acne,wfns,3.0,25,ACN,WFN
161,acne,wnv,3.0,29,ACN,WNV
162,acne,aml,3.0,29,ACN,ANL
163,acne,ccf,3.0,29,ACN,CF
164,acne,cml,3.0,29,ACN,CNL
165,acne,cte,2.0,57,ACN,CT
166,acne,lens,3.0,25,ACN,LAN
167,acne,mcad,3.0,25,ACN,MCAD
168,acne,men1,3.0,25,ACN,MAN
169,acne,ocp,3.0,29,ACN,OCP
170,acne,pcf,3.0,29,ACN,PCF
171,acne,pcp,3.0,29,ACN,PCP
172,acne,pct,3.0,29,ACN,PCT
173,acne,vte,3.0,29,ACN,VT
174,acrodynia,mastodynia,3.0,74,ACRADAN,MASTADAN
175,adalimumab,natalizumab,3.0,76,ADALANANAB,NATALASANAB
176,adderall,adrenal,3.0,67,ADARAL,ADRANAL
177,adefovir,adenovirus,3.0,78,ADAFAVAR,ADANAVAR
178,adenitis,adenomas,3.0,62,ADANAT,ADANAN
179,adenitis,angiitis,3.0,75,ADANAT,ANGAT
180,adenitis,aortitis,3.0,62,ADANAT,ARTAT
181,adenitis,ileitis,3.0,67,ADANAT,ILAT
182,adenitis,rhinitis,3.0,62,ADANAT,RANAT
183,adenitis,uveitis,3.0,67,ADANAT,UVAT
184,adenitis,vaginitis,3.0,71,ADANAT,VAGANAT
185,adenoidectomy,arytenoidectomy,3.0,86,ADANADACTANY,ARATANADACTANY
186,adenomas,adenitis,3.0,62,ADANAN,ADANAT
187,adenovirus,adefovir,3.0,78,ADANAVAR,ADAFAVAR
188,adenovirus,rhinovirus,3.0,70,ADANAVAR,RANAVAR
189,adhd,abs,3.0,29,ADHD,AB
190,adhd,acne,3.0,25,ADHD,ACN
191,adhd,aids,3.0,50,ADHD,AD
192,adhd,anal,3.0,25,ADHD,ANAL
193,adhd,ards,3.0,50,ADHD,AD
194,adhd,arvd,2.0,50,ADHD,ARVD
195,adhd,chd,2.0,57,ADHD,CHD
196,adhd,copd,3.0,25,ADHD,CAPD
197,adhd,dhea,3.0,50,ADHD,D
198,adhd,gerd,3.0,25,ADHD,GAD
199,adhd,head,3.0,50,ADHD,HAD
200,adhd,lavh,3.0,50,ADHD,LAVH
201,adhd,lchad,3.0,44,ADHD,LCAD
202,adhd,ldpe,3.0,25,ADHD,LDP
203,adhd,lvad,3.0,50,ADHD,LVAD
204,adhd,msud,3.0,25,ADHD,MSAD
205,adhd,nafld,3.0,44,ADHD,NAFLD
206,adhd,npd,3.0,29,ADHD,NPD
207,adhd,ocd,3.0,29,ADHD,OCD
208,adhd,rdw,3.0,29,ADHD,RDW
209,adhd,seid,3.0,25,ADHD,SAD
210,adhd,std,3.0,29,ADHD,STD
211,adhd,aml,3.0,29,ADHD,ANL
212,adhd,dka,3.0,29,ADHD,DC
213,adhd,fsh,3.0,29,ADHD,FS
214,adhd,g6pd,3.0,25,ADHD,GPD
215,adhd,iih,3.0,29,ADHD,
216,adhd,mcad,3.0,50,ADHD,MCAD
217,adhd,pad,3.0,57,ADHD,PAD
218,adhd,pda,3.0,29,ADHD,PD
219,adhd,pdcd,2.0,50,ADHD,PDCD
220,adhd,vkh,3.0,29,ADHD,VCH
221,adipsia,agnosia,3.0,57,ADAPS,AGNAS
222,adipsia,akinesia,3.0,67,ADAPS,ACANAS
223,adipsia,amnesia,3.0,57,ADAPS,ANAS
224,adipsia,aphasia,3.0,71,ADAPS,AFAS
225,adipsia,atresia,3.0,57,ADAPS,ATRAS
226,adrenal,adderall,3.0,67,ADRANAL,ADARAL
227,adrenal,anal,3.0,73,ADRANAL,ANAL
228,adrenal,atrial,3.0,62,ADRANAL,ATRAL
229,adrenal,dental,3.0,77,ADRANAL,DANTAL
230,adrenal,renal,2.0,83,ADRANAL,RANAL
231,aerobic,aortic,3.0,62,ARABAC,ARTAC
232,aerobic,chronic,3.0,57,ARABAC,CHRANAC
233,aging,acne,3.0,44,AGANG,ACN
234,aging,aids,3.0,44,AGANG,AD
235,aging,avian,3.0,60,AGANG,AVAN
236,aging,binge,3.0,60,AGANG,BANG
237,aging,eating,2.0,73,AGANG,EATANG
238,aging,fasting,3.0,67,AGANG,FASTANG
239,aging,joint,3.0,40,AGANG,JAD
240,aging,living,3.0,55,AGANG,LAVANG
241,aging,lung,3.0,44,AGANG,LANG
242,aging,pain,3.0,67,AGANG,PAN
243,aging,skin,3.0,44,AGANG,SCAN
244,aging,spine,3.0,40,AGANG,SPAN
245,aging,toning,3.0,55,AGANG,TANANG
246,aging,urine,3.0,40,AGANG,URAN
247,aging,vaginal,3.0,67,AGANG,VAGANAL
248,aging,veins,3.0,40,AGANG,VAN
249,agnosia,adipsia,3.0,57,AGNAS,ADAPS
250,agnosia,akinesia,3.0,67,AGNAS,ACANAS
251,agnosia,amnesia,2.0,71,AGNAS,ANAS
252,agnosia,anemia,3.0,62,AGNAS,ANAN
253,agnosia,aphasia,3.0,57,AGNAS,AFAS
254,agnosia,atresia,3.0,57,AGNAS,ATRAS
255,agnosia,diagnosis,3.0,75,AGNAS,DAGNAS
256,agnosia,vaginosis,3.0,75,AGNAS,VAGANAS
257,aids,abs,2.0,57,AD,AB
258,aids,acne,3.0,25,AD,ACN
259,aids,adhd,3.0,50,AD,ADHD
260,aids,aging,3.0,44,AD,AGANG
261,aids,anal,3.0,25,AD,ANAL
262,aids,ards,1.0,75,AD,AD
263,aids,arvd,3.0,50,AD,ARVD
264,aids,avian,3.0,44,AD,AVAN
265,aids,bite,3.0,25,AD,BAT
266,aids,bites,3.0,44,AD,BAT
267,aids,body,3.0,25,AD,BADY
268,aids,boils,3.0,44,AD,BAL
269,aids,cauda,3.0,44,AD,CAD
270,aids,chd,3.0,29,AD,CHD
271,aids,cuts,3.0,25,AD,CAT
272,aids,diet,3.0,25,AD,DAT
273,aids,diets,3.0,44,AD,DAT
274,aids,eyes,3.0,25,AD,E
275,aids,favus,3.0,44,AD,FAV
276,aids,fit,3.0,29,AD,FAT
277,aids,glands,3.0,60,AD,GLAD
278,aids,hair,3.0,50,AD,HAR
279,aids,hicks,3.0,44,AD,HAC
280,aids,hiit,3.0,25,AD,HAT
281,aids,hip,3.0,29,AD,HAP
282,aids,hiv,3.0,29,AD,HAV
283,aids,hives,3.0,44,AD,HAV
284,aids,hus,3.0,29,AD,H
285,aids,legs,3.0,25,AD,LAG
286,aids,lems,3.0,25,AD,LAN
287,aids,limb,3.0,25,AD,LANB
288,aids,lip,3.0,29,AD,LAP
289,aids,mers,3.0,25,AD,MAR
290,aids,nails,2.0,67,AD,NAL
291,aids,node,3.0,25,AD,NAD
292,aids,nodes,3.0,44,AD,NAD
293,aids,npd,3.0,29,AD,NPD
294,aids,ocd,3.0,29,AD,OCD
295,aids,ocps,3.0,25,AD,OCP
296,aids,pain,3.0,50,AD,PAN
297,aids,pica,3.0,25,AD,PAC
298,aids,piles,3.0,44,AD,PAL
299,aids,pill,3.0,25,AD,PAL
300,aids,rdw,3.0,29,AD,RDW
301,aids,sars,3.0,50,AD,SAR
302,aids,seid,3.0,50,AD,SAD
303,aids,sinus,3.0,44,AD,SAN
304,aids,std,3.0,29,AD,STD
305,aids,stds,2.0,50,AD,STD
306,aids,timi,3.0,25,AD,TAN
307,aids,tlics,3.0,44,AD,TLAC
308,aids,veins,3.0,44,AD,VAN
309,aids,virus,3.0,44,AD,VAR
310,aids,warts,3.0,44,AD,WAD
311,aids,wfns,3.0,25,AD,WFN
312,aids,yaws,3.0,50,AD,Y
313,aids,aml,3.0,29,AD,ANL
314,aids,iih,3.0,29,AD,
315,aids,lens,3.0,25,AD,LAN
316,aids,oi,3.0,33,AD,
317,aids,pad,3.0,57,AD,PAD
318,aids,pals,3.0,50,AD,PAL
319,aids,pda,3.0,29,AD,PD
320,aids,vats,3.0,50,AD,VAT
321,akinesia,adipsia,3.0,67,ACANAS,ADAPS
322,akinesia,agnosia,3.0,67,ACANAS,AGNAS
323,akinesia,amnesia,2.0,80,ACANAS,ANAS
324,akinesia,anemia,3.0,71,ACANAS,ANAN
325,akinesia,atresia,3.0,67,ACANAS,ATRAS
326,alefacept,abatacept,3.0,67,ALAFACAPT,ABATACAPT
327,allergies,allergy,3.0,75,ALARGY,ALARGY
328,allergy,allergies,3.0,75,ALARGY,ALARGY
329,allergy,artery,3.0,62,ALARGY,ARTARY
330,almotriptan,eletriptan,3.0,76,ALNATRAPTAN,ELATRAPTAN
331,almotriptan,sumatriptan,3.0,73,ALNATRAPTAN,SANATRAPTAN
332,alopecia,anorexia,3.0,62,ALAPAC,ANARAX
333,alopecia,propecia,2.0,75,ALAPAC,PRAPAC
334,alzheimer,alzheimers,1.0,95,ALSANAR,ALSANAR
335,alzheimers,alzheimer,1.0,95,ALSANAR,ALSANAR
336,amantadine,azatadine,2.0,84,ANANTADAN,ASATADAN
337,amantadine,galantamine,3.0,76,ANANTADAN,GALANTANAN
338,amblyopia,myopia,3.0,80,ANBLAP,MAP
339,amcinonide,amiloride,3.0,74,ANCANANAD,ANALARAD
340,amcinonide,amrinone,3.0,78,ANCANANAD,ANRANAN
341,amebiasis,acariasis,3.0,67,ANABAS,ACARAS
342,amebiasis,myiasis,3.0,75,ANABAS,MAS
343,amenorrhea,amenorrhoea,1.0,95,ANANAR,ANANAR
344,amenorrhea,dysmenorrhea,3.0,82,ANANAR,DASNANAR
345,amenorrhea,gonorrhea,3.0,74,ANANAR,GANAR
346,amenorrhea,seborrhea,3.0,74,ANANAR,SABAR
347,amenorrhoea,amenorrhea,1.0,95,ANANAR,ANANAR
348,amiloride,amcinonide,3.0,74,ANALARAD,ANCANANAD
349,amiloride,chloride,3.0,71,ANALARAD,CHLARAD
350,amitriptyline,nortriptyline,3.0,77,ANATRAPTALAN,NARTRAPTALAN
351,amlodipine,felodipine,2.0,80,ANLADAPAN,FALADAPAN
352,amnesia,adipsia,3.0,57,ANAS,ADAPS
353,amnesia,agnosia,2.0,71,ANAS,AGNAS
354,amnesia,akinesia,2.0,80,ANAS,ACANAS
355,amnesia,anemia,2.0,77,ANAS,ANAN
356,amnesia,aphasia,3.0,57,ANAS,AFAS
357,amnesia,apnea,3.0,67,ANAS,APN
358,amnesia,atresia,2.0,71,ANAS,ATRAS
359,amniocentesis,rachiocentesis,3.0,81,ANACANTAS,RACACANTAS
360,amoxicillin,ampicillin,2.0,86,ANAXACALAN,ANPACALAN
361,amoxicillin,cloxacillin,3.0,73,ANAXACALAN,CLAXACALAN
362,amoxicillin,meticillin,3.0,76,ANAXACALAN,MATACALAN
363,amoxicillin,oxacillin,3.0,80,ANAXACALAN,OXACALAN
364,ampicillin,amoxicillin,2.0,86,ANPACALAN,ANAXACALAN
365,ampicillin,bacampicillin,3.0,87,ANPACALAN,BACANPACALAN
366,ampicillin,meticillin,3.0,80,ANPACALAN,MATACALAN
367,ampicillin,penicillin,3.0,80,ANPACALAN,PANACALAN
368,amrinone,amcinonide,3.0,78,ANRANAN,ANCANANAD
369,amrinone,milrinone,3.0,82,ANRANAN,MALRANAN
370,amyloidosis,melioidosis,3.0,82,ANALADAS,MALADAS
371,anal,abs,3.0,29,ANAL,AB
372,anal,acne,3.0,50,ANAL,ACN
373,anal,adhd,3.0,25,ANAL,ADHD
374,anal,adrenal,3.0,73,ANAL,ADRANAL
375,anal,aids,3.0,25,ANAL,AD
376,anal,ankle,2.0,67,ANAL,ANCL
377,anal,apnea,3.0,67,ANAL,APN
378,anal,ards,3.0,25,ANAL,AD
379,anal,arvd,3.0,25,ANAL,ARVD
380,anal,atrial,3.0,60,ANAL,ATRAL
381,anal,avian,3.0,44,ANAL,AVAN
382,anal,brao,3.0,25,ANAL,BR
383,anal,cell,3.0,25,ANAL,CAL
384,anal,cll,3.0,29,ANAL,CL
385,anal,crao,3.0,25,ANAL,CR
386,anal,danazol,3.0,73,ANAL,DANASAL
387,anal,dental,3.0,60,ANAL,DANTAL
388,anal,facial,3.0,60,ANAL,FACAL
389,anal,fecal,3.0,44,ANAL,FACAL
390,anal,fetal,3.0,44,ANAL,FATAL
391,anal,flab,3.0,25,ANAL,FLAB
392,anal,focal,3.0,44,ANAL,FACAL
393,anal,fungal,3.0,60,ANAL,FANGAL
394,anal,head,3.0,25,ANAL,HAD
395,anal,heat,3.0,25,ANAL,HAT
396,anal,heel,3.0,25,ANAL,HAL
397,anal,hiatal,3.0,60,ANAL,HATAL
398,anal,jaw,3.0,29,ANAL,J
399,anal,knee,3.0,25,ANAL,NY
400,anal,lvad,3.0,25,ANAL,LVAD
401,anal,male,3.0,50,ANAL,MAL
402,anal,mental,3.0,60,ANAL,MANTAL
403,anal,nafld,3.0,67,ANAL,NAFLD
404,anal,nails,3.0,67,ANAL,NAL
405,anal,npd,3.0,29,ANAL,NPD
406,anal,oab,3.0,29,ANAL,OAB
407,anal,osa,3.0,29,ANAL,OS
408,anal,panic,3.0,44,ANAL,PANAC
409,anal,pap,3.0,29,ANAL,PAP
410,anal,pill,3.0,25,ANAL,PAL
411,anal,pml,3.0,29,ANAL,PNL
412,anal,renal,2.0,67,ANAL,RANAL
413,anal,scar,3.0,25,ANAL,SCAR
414,anal,spa,3.0,29,ANAL,SP
415,anal,tubal,3.0,44,ANAL,TABAL
416,anal,tvl,3.0,29,ANAL,TVL
417,anal,vaginal,3.0,73,ANAL,VAGANAL
418,anal,wnv,3.0,29,ANAL,WNV
419,anal,xanax,2.0,67,ANAL,XANAX
420,anal,aml,2.0,57,ANAL,ANL
421,anal,cml,3.0,29,ANAL,CNL
422,anal,dka,3.0,29,ANAL,DC
423,anal,mcad,3.0,25,ANAL,MCAD
424,anal,pad,3.0,29,ANAL,PAD
425,anal,pals,3.0,50,ANAL,PAL
426,anal,pam,3.0,29,ANAL,PAN
427,anal,pda,3.0,29,ANAL,PD
428,anal,poag,3.0,25,ANAL,PAG
429,anal,vma,3.0,29,ANAL,VN
430,anatomy,vagotomy,3.0,67,ANATANY,VAGATANY
431,anemia,agnosia,3.0,62,ANAN,AGNAS
432,anemia,akinesia,3.0,71,ANAN,ACANAS
433,anemia,amnesia,2.0,77,ANAN,ANAS
434,anemia,anorexia,3.0,71,ANAN,ANARAX
435,anemia,apnea,3.0,73,ANAN,APN
436,anemia,ataxia,3.0,50,ANAN,ATAX
437,anemia,atresia,3.0,62,ANAN,ATRAS
438,anemia,edema,3.0,55,ANAN,EDAN
439,anemia,enema,2.0,73,ANAN,ENAN
440,anemia,toxemia,3.0,62,ANAN,TAXAN
441,anemia,uremia,2.0,67,ANAN,URAN
442,anetoderma,xeroderma,3.0,74,ANATADARN,XARADARN
443,angiitis,adenitis,3.0,75,ANGAT,ADANAT
444,angiitis,aortitis,3.0,62,ANGAT,ARTAT
445,angiitis,fasciitis,3.0,71,ANGAT,FASCAT
446,angiitis,gingivitis,3.0,78,ANGAT,GANGAVAT
447,angiitis,vaginitis,3.0,82,ANGAT,VAGANAT
448,angioplasty,genioplasty,3.0,82,ANGAPLASTY,GANAPLASTY
449,anhidrosis,hidrosis,2.0,89,ANADRAS,HADRAS
450,aniridia,anorexia,3.0,62,ANARAD,ANARAX
451,ankle,acne,3.0,67,ANCL,ACN
452,ankle,anal,2.0,67,ANCL,ANAL
453,ankle,canker,3.0,73,ANCL,CANCAR
454,ankle,knee,3.0,44,ANCL,NY
455,ankle,macule,3.0,55,ANCL,MCAL
456,ankle,male,3.0,67,ANCL,MAL
457,ankle,node,3.0,44,ANCL,NAD
458,ankle,nose,3.0,44,ANCL,NAS
459,ankle,papule,3.0,55,ANCL,PAPAL
460,ankle,scle,3.0,44,ANCL,SCL
461,ankle,aml,3.0,50,ANCL,ANL
462,anophthalmos,enophthalmia,3.0,75,ANAFTALN,ENAFTALN
463,anophthalmos,enophthalmos,1.0,92,ANAFTALN,ENAFTALN
464,anophthalmos,exophthalmos,2.0,83,ANAFTALN,EXAFTALN
465,anorexia,alopecia,3.0,62,ANARAX,ALAPAC
466,anorexia,anemia,3.0,71,ANARAX,ANAN
467,anorexia,aniridia,3.0,62,ANARAX,ANARAD
468,anorexia,apraxia,3.0,67,ANARAX,APRAX
469,anorexia,atresia,3.0,67,ANARAX,ATRAS
470,anorexia,pyrexia,3.0,67,ANARAX,PARAX
471,antacid,ataxia,3.0,62,ANTACAD,ATAX
472,antacid,niacin,3.0,62,ANTACAD,NACAN
473,anthralin,anthrax,3.0,75,ANTHRALAN,ANTHRAX
474,anthrax,anthralin,3.0,75,ANTHRAX,ANTHRALAN
475,anthrax,asthma,3.0,62,ANTHRAX,ASTHN
476,anthrax,thorax,3.0,77,ANTHRAX,TARAX
477,anticoagulant,anticonvulsant,3.0,81,ANTACAGALAD,ANTACANVALSAD
478,anticonvulsant,anticoagulant,3.0,81,ANTACANVALSAD,ANTACAGALAD
479,antigen,ativan,3.0,31,ANTAGAN,ATAVAN
480,antrectomy,mastectomy,3.0,80,ANTRACTANY,MASTACTANY
481,aortic,aerobic,3.0,62,ARTAC,ARABAC
482,aortic,aortitis,3.0,71,ARTAC,ARTAT
483,aortic,colic,3.0,55,ARTAC,CALAC
484,aortic,cystic,3.0,50,ARTAC,CASTAC
485,aortic,otc,3.0,67,ARTAC,OTC
486,aortitis,adenitis,3.0,62,ARTAT,ADANAT
487,aortitis,angiitis,3.0,62,ARTAT,ANGAT
488,aortitis,aortic,3.0,71,ARTAT,ARTAC
489,aortitis,arthritis,3.0,82,ARTAT,ARTHRAT
490,aortitis,bursitis,3.0,62,ARTAT,BARSAT
491,aortitis,colitis,3.0,67,ARTAT,CALAT
492,aortitis,cystitis,3.0,62,ARTAT,CASTAT
493,aortitis,iritis,3.0,71,ARTAT,IRAT
494,aortitis,keratitis,3.0,71,ARTAT,CARATAT
495,aortitis,orchitis,3.0,75,ARTAT,ORCAT
496,aortitis,osteitis,3.0,75,ARTAT,OSTAT
497,aortitis,otitis,2.0,86,ARTAT,OTAT
498,aortitis,parotitis,3.0,82,ARTAT,PARATAT
499,aortitis,proctitis,3.0,71,ARTAT,PRACTAT
500,aphasia,achalasia,3.0,75,AFAS,ACALAS
501,aphasia,adipsia,3.0,71,AFAS,ADAPS
502,aphasia,agnosia,3.0,57,AFAS,AGNAS
503,aphasia,amnesia,3.0,57,AFAS,ANAS
504,aphasia,apraxia,2.0,71,AFAS,APRAX
505,aphasia,ataxia,3.0,62,AFAS,ATAX
506,aphasia,atresia,3.0,57,AFAS,ATRAS
507,aphasia,paraphasia,3.0,82,AFAS,PARAFAS
508,aphasia,phobia,3.0,62,AFAS,FAB
509,apnea,acne,2.0,67,APN,ACN
510,apnea,amnesia,3.0,67,APN,ANAS
511,apnea,anal,3.0,67,APN,ANAL
512,apnea,anemia,3.0,73,APN,ANAN
513,apnea,bone,3.0,44,APN,BAN
514,apnea,cornea,3.0,55,APN,CARN
515,apnea,cpeo,3.0,44,APN,CP
516,apnea,dhea,3.0,44,APN,D
517,apnea,dyspnea,3.0,67,APN,DASPN
518,apnea,enema,3.0,60,APN,ENAN
519,apnea,knee,3.0,44,APN,NY
520,apnea,nausea,3.0,55,APN,NAS
521,apnea,pica,3.0,22,APN,PAC
522,apnea,rape,3.0,67,APN,RAP
523,apnea,spa,3.0,25,APN,SP
524,apnea,spine,3.0,60,APN,SPAN
525,apnea,pda,3.0,25,APN,PD
526,apnea,pep,3.0,50,APN,PAP
527,apomorphine,morphine,3.0,84,APANARFAN,MARFAN
528,apraxia,anorexia,3.0,67,APRAX,ANARAX
529,apraxia,aphasia,2.0,71,APRAX,AFAS
530,apraxia,ataxia,2.0,77,APRAX,ATAX
531,apraxia,atresia,3.0,57,APRAX,ATRAS
532,apraxia,pyrexia,3.0,71,APRAX,PARAX
533,ards,abs,2.0,57,AD,AB
534,ards,acne,3.0,25,AD,ACN
535,ards,adhd,3.0,50,AD,ADHD
536,ards,aids,1.0,75,AD,AD
537,ards,anal,3.0,25,AD,ANAL
538,ards,arvd,2.0,75,AD,ARVD
539,ards,body,3.0,25,AD,BADY
540,ards,brao,3.0,25,AD,BR
541,ards,burns,3.0,44,AD,BARN
542,ards,cardio,3.0,60,AD,CARD
543,ards,cauda,3.0,44,AD,CAD
544,ards,chd,3.0,29,AD,CHD
545,ards,corns,3.0,44,AD,CARN
546,ards,crao,3.0,25,AD,CR
547,ards,crp,3.0,29,AD,CRP
548,ards,cuts,3.0,25,AD,CAT
549,ards,drug,3.0,25,AD,DRAG
550,ards,drugs,3.0,44,AD,DRAG
551,ards,eyes,3.0,25,AD,E
552,ards,favus,3.0,44,AD,FAV
553,ards,gerd,3.0,50,AD,GAD
554,ards,glands,3.0,60,AD,GLAD
555,ards,hus,3.0,29,AD,H
556,ards,iron,3.0,25,AD,IRAN
